Income,Total_amount_spent,Length_of_Association
44155,46,83
84130,1702,86
76532,820,87
42081,382,94
67546,1778.25,100
84130,1778.25,80
31158,72,95
61671,732,79
69719,801,79
49160,236,86
24882,80,100
84130,1685,81
84130,277,79
59292,507,90
45759,68,94
22148,49,80
73395,397,81
29819,39,86
45688,306,83
62820,976,92
60491,1028,88
33235,70,83
35701,46,93
31535,51,87
84130,1263,80
67384,1490,98
80573,1564,98
77870,1778.25,100
52278,1198,95
57107,416,100
18985.5,85,94
36038,47,91
20180,137,94
34230,22,96
31878,70,78
70932,909,83
84130,1676,98
77598,1735,87
80982,1191,96
22701,24,88
55212,1182,97
70617,1280,90
64849,1336,97
62694,749,90
61917,91,85
67472,414,87
21059,44,83
29543,63,81
75903,901,93
34984,38,100
54998,455,94
54356,775,97
34242,22,81
25410,38,88
73356,1512,82
28320,43,95
23763,42,101
72570,1089,80
34529,162,99
70792,1272,95
63211,1173,98
83891,816,78
36065,74,93
39898,134,94
51141,157,90
56939,561,87
80872,1336,79
72335,1778.25,101
61798,463,85
76842,1130,80
29478,22,83
46998,377,98
84130,1544,92
56551,138,79
70053,1012,90
71670,1766,90
44359,45,78
40887,161,92
48877,144,84
74485,1734,88
64474,823,86
77226,1138,82
72643,1429,94
84130,1371,83
55686,982,94
39062,44,81
34600,318,96
40794,434,93
54690,198,86
18985.5,359,87
32632,576,101
38236,88,87
36781,63,80
31385,27,97
24570,193,94
25509,101,99
84130,1778.25,82
58646,140,91
53201,415,94
21994,22,96
57113,263,95
51373,393,90
23477,147,86
58116,443,80
72968,1778.25,84
39791,174,93
84130,1778.25,86
84130,1691,81
18985.5,25,92
84130,809,79
79205,895,100
56559,484,96
32644,413,95
67506,331,84
24206,25,94
28420,22,84
22979,115,100
33279,22,78
46423,92,87
30368,52,86
63684,1464,97
41638,441,94
68805,283,87
65814,747,82
71964,1778.25,91
39146,165,94
84130,1778.25,89
34445,839,95
68281,1655,101
37284,23,93
36790,66,94
27943,37,92
22263,22,81
30261,22,99
28587,78,82
43815,79,93
48195,265,83
77027,1175,83
71322,1305,94
32765,46,82
29672,25,94
23272,46,86
49912,874,100
18985.5,100,101
68117,930,94
67225,868,85
18985.5,45,85
55914,1260,92
40059,414,87
60905,392,85
75330,1109,99
60689,639,91
38680,79,93
61416,1665,95
49767,692,92
83273,1392,99
29009,44,85
45057,50,85
37150,467,100
43020,223,85
53154,158,78
65308,1211,87
76467,1575,100
81044,1208,84
32871,43,94
55801,527,87
76320,932,78
36927,71,79
48794,54,78
23478,129,93
71128,1615,99
70179,1034,89
59462,1088,96
38361,137,84
70038,1244,86
42554,41,95
67445,1174,101
67046,993,96
42192,100,88
77610,1680,98
31761,98,81
34350,48,86
54591,519,89
71866,715,84
25293,37,87
42000,653,96
69520,1455,90
64713,602,82
27889,26,90
22123,102,81
27803,176,100
51651,433,98
68487,1366,95
56796,1001,94
84130,961,96
79823,1518,81
30828,56,87
34109,22,86
53367,400,88
22390,26,86
71322,350,80
79244,1216,96
49912,874,100
48699,40,91
80144,1367,87
54252,264,91
81929,1778.25,99
76068,1376,97
53204,45,81
67911,976,79
18985.5,51,99
78128,1264,82
18985.5,75,94
20425,57,98
58646,140,91
72967,497,96
48150,266,91
82332,1778.25,99
58275,615,91
44953,1021,96
34587,22,79
43018,133,86
45736,437,89
66476,1013,85
27733,57,88
69805,1038,83
72217,1573,93
25818,28,98
37509,123,100
25176,22,88
43586,132,100
53230,732,101
50116,66,78
84130,1631,87
61286,608,89
82333,1778.25,93
65220,1282,100
33590,22,86
30992,43,92
72309,1778.25,94
84130,22,88
18985.5,103,101
65487,1169,83
58692,395,81
40590,258,87
20587,25,79
62637,185,82
29435,180,101
19346,22,83
35788,44,83
36997,94,95
23539,81,82
65333,798,83
78499,1334,85
29732,38,81
41275,61,81
63516,300,90
42769,88,86
49572,54,84
69209,1778.25,99
18985.5,68,83
40590,258,87
30560,31,90
32146,66,79
41713,174,80
34176,28,83
58482,731,81
59686,274,83
60896,1701,99
62994,312,82
47320,414,89
74859,1565,91
18985.5,29,86
31560,94,90
72071,1338,94
84130,1092,93
84130,1479,84
41967,54,85
69263,568,82
65706,1199,90
60934,873,83
71965,1213,89
65210,731,81
79174,1778.25,96
81380,1778.25,96
48432,424,98
52914,575,96
38946,257,86
26067,56,86
44325,542,94
42523,125,80
26487,69,91
53233,40,81
67716,1016,96
76234,907,82
84117,1566,79
65487,1169,83
25224,46,81
84130,1644,94
40851,59,94
27469,22,101
82347,1778.25,98
73803,1528,101
18985.5,35,93
43322,141,80
55593,546,88
50501,500,90
37085,61,78
18985.5,106,89
57731,704,97
48432,424,98
73807,849,96
18985.5,85,94
35893,199,98
61014,1147,101
32144,54,81
18985.5,43,97
45146,53,89
41769,521,94
84130,1623,83
38054,45,80
80617,1435,99
18985.5,32,89
36807,22,96
28427,52,93
82032,1234,81
22775,22,90
40101,415,98
58025,470,85
75777,1438,90
18985.5,53,92
33562,51,78
57642,679,83
58554,586,99
63777,653,93
57967,468,94
24434,50,79
18985.5,84,93
44802,1049,100
26816,22,100
84130,62,91
34421,30,90
61223,1341,90
64014,444,78
56981,1241,83
69245,843,83
52869,172,98
